name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,price_usd,price,price_currency_code,cb_url,ipo_uuid,company_uuid,uuid,created_at,updated_at
Canadian Tire Corp.,CAN,ON,Toronto,Toronto,TSX,CTC,2013-10-10,,,,https://www.crunchbase.com/organization/canadian-tire,de306670-6157-118f-527b-c2924b6c8692,44c3d1fe-e15e-4828-532f-19730fe281f8,44c3d1fe-e15e-4828-532f-19730fe281f8,2016-03-17 18:16:16.42637,2016-03-17 18:16:50.395847
MacroGenics,USA,MD,"Washington, D.C.",Rockville,NASDAQ,MGNX,2013-10-10,,,,https://www.crunchbase.com/organization/macrogenics,3088c471-453b-1796-c1d7-1c91e598a6e9,91efe631-e7e0-4dfa-1f5e-5f101dd2d765,91efe631-e7e0-4dfa-1f5e-5f101dd2d765,2014-05-30 09:34:00,2015-10-04 13:03:59.332039
Stonegate Mortgage,USA,IN,Indianapolis,Indianapolis,NYSE,SGM,2013-10-10,,,,https://www.crunchbase.com/organization/stonegate-mortgage,18e79d4a-f6f7-0959-ad9f-8f751105d4e6,1e4bc87c-d183-5a6e-d005-135f2dca5da8,1e4bc87c-d183-5a6e-d005-135f2dca5da8,2014-06-09 03:34:58,2015-07-16 23:04:37
Western Refining Logistics,USA,TX,El Paso,El Paso,NYSE,WNRL,2013-10-10,,,,https://www.crunchbase.com/organization/western-refining-logistics,16d5dc35-d32c-7c74-0d47-63fc249fb2aa,deba425c-dd1c-1e3f-96ac-74f5049f036c,deba425c-dd1c-1e3f-96ac-74f5049f036c,2014-06-04 04:41:47,2015-07-16 23:56:43
QTS Realty Trust,USA,KS,Kansas City,Overland Park,NYSE,QTS,2013-10-09,567000000,,,https://www.crunchbase.com/organization/quality-technology-services,d6db3bf8-b245-f4bf-36a6-314cb36ebe69,27c257a6-9117-8e43-c683-4209d52005a8,27c257a6-9117-8e43-c683-4209d52005a8,2013-10-10 03:57:21,2016-09-01 08:36:47.538252
SFX Entertainment,USA,NY,New York City,New York,NASDAQ,SFXE,2013-10-09,1079000000,,,https://www.crunchbase.com/organization/sfx-entertainment,5a1e8713-f892-454d-ef9f-fe390ab3bc7d,767fba43-e72f-787b-837c-03a6c8a99835,767fba43-e72f-787b-837c-03a6c8a99835,2014-06-06 09:53:11,2016-09-01 12:48:37.599512
Cherry Hill Mortgage Investment Corporation,USA,NJ,NJ - Other,Moorestown,NYSE,CHMI,2013-10-07,,,,https://www.crunchbase.com/organization/cherry-hill-mortgage-investment-corporation,c5d049ed-da82-d32e-2b04-cec6f3f0de24,b2fbc147-ea72-4bd2-cdd9-b3a9ccacfdc0,b2fbc147-ea72-4bd2-cdd9-b3a9ccacfdc0,2014-07-04 10:03:09,2015-07-16 23:17:32
Kodak,USA,NY,"Rochester, New York",Rochester,NYSE,KODK,2013-10-04,,,,https://www.crunchbase.com/organization/kodak,ab075d1e-16fe-1477-6778-530e44d1c807,bf190e5b-9223-10d8-93d3-34c592db9f82,bf190e5b-9223-10d8-93d3-34c592db9f82,2014-07-07 09:17:44,2016-08-16 10:52:19.666107
MetaStat,USA,NJ,Newark,Montclair,OTCMKTS,MTST,2013-10-04,,,,https://www.crunchbase.com/organization/metastat,f1e4d97b-31e5-619a-94dd-792da3054e56,c871052b-d990-48ae-49c9-6af5120b682f,c871052b-d990-48ae-49c9-6af5120b682f,2015-01-07 06:36:10,2016-09-02 11:03:13.277381
OCI Partners LP,USA,TX,TX - Other,Nederland,NYSE,OCIP,2013-10-04,,,,https://www.crunchbase.com/organization/oci-partners-lp,0f37f882-975f-e801-5cbf-5f1439f95bd5,a8d3b96d-2213-636e-5165-72139cf9d442,a8d3b96d-2213-636e-5165-72139cf9d442,2014-06-06 05:37:51,2016-06-29 10:17:49.424216
Potbelly Sandwich Works,USA,IL,Chicago,Chicago,NASDAQ,PBPB,2013-10-04,,,,https://www.crunchbase.com/organization/potbelly-sandwich-works,4b4afddd-4f87-c831-2a5d-efd361ee6f1a,7d7f49c2-55f1-7a02-c8b9-2723422b6f5e,7d7f49c2-55f1-7a02-c8b9-2723422b6f5e,2013-10-04 13:05:00,2015-07-16 23:09:51
Premier,USA,NC,Charlotte,Charlotte,NASDAQ,PINC,2013-10-04,,,,https://www.crunchbase.com/organization/premier,e3a317b5-bbad-eecc-3907-3cb124009f19,2e00a005-ec25-49e4-52e7-16540c46bf13,2e00a005-ec25-49e4-52e7-16540c46bf13,2014-07-23 09:49:53,2016-09-02 06:25:17.933648
Empire State Realty Trust,USA,NY,New York City,New York,NYSE,ESRT,2013-10-03,,,,https://www.crunchbase.com/organization/empire-state-realty-trust,04b4313a-1c12-adac-f655-6dea952fb24e,fb7ccb26-0d76-d6fb-771a-fca4c682361c,fb7ccb26-0d76-d6fb-771a-fca4c682361c,2014-08-14 10:14:05,2015-07-16 23:44:26
LifeLock,USA,AZ,Phoenix,Tempe,NYSE,LOCK,2013-10-03,776775267,,,https://www.crunchbase.com/organization/lifelock,25a0d812-231d-4373-a815-9cb6a390804b,b93d25ff-cf38-929e-57a6-b40bf77db9ca,b93d25ff-cf38-929e-57a6-b40bf77db9ca,2014-05-26 12:02:43,2015-12-24 08:53:47.899957
Actavis,USA,NJ,Newark,Parsippany,NYSE,ACT,2013-10-02,,,,https://www.crunchbase.com/organization/actavis,4393cc7b-88ef-8d2b-1a92-3cbfa9248fac,7b8a066b-02cf-bda8-8537-05fd54f3607b,7b8a066b-02cf-bda8-8537-05fd54f3607b,2013-05-21 05:13:57,2016-09-09 12:04:59.195208
ReMax,USA,CO,Denver,Denver,NYSE,RMAX,2013-10-02,,,,https://www.crunchbase.com/organization/remax,682ea0ac-be90-ebde-5411-ad98a486ea39,f5edea4f-33ad-9d28-e9b3-5b54f6b80ef3,f5edea4f-33ad-9d28-e9b3-5b54f6b80ef3,2013-10-02 13:04:56,2016-09-02 09:46:12.961226
Fate Therapeutics,USA,CA,San Diego,La Jolla,NASDAQ,FATE,2013-10-01,,,,https://www.crunchbase.com/organization/fate-therapeutics,6ecbf61a-6ccc-2094-53eb-e4d182deb374,53c63fba-e48b-b2e3-ed8f-51cf6dfbe114,53c63fba-e48b-b2e3-ed8f-51cf6dfbe114,2014-05-27 10:20:59,2016-08-31 14:02:57.894836
BIND Therapeutics,USA,MA,Boston,Cambridge,NASDAQ,BIND,2013-09-27,,,,https://www.crunchbase.com/organization/bind-therapeutics,bdc214fd-87fa-e396-d55f-f314bfdcbbbd,81bd02fc-f8d2-78a4-7496-4ac4e9649a20,81bd02fc-f8d2-78a4-7496-4ac4e9649a20,2014-05-30 09:48:50,2016-10-04 08:16:44.466044
Pattern Energy Group,USA,CA,SF Bay Area,San Francisco,NASDAQ,PEGI,2013-09-27,781622226,,,https://www.crunchbase.com/organization/pattern-energy-group,94b972c3-897f-d3a4-333e-9c5bd8be3b24,d2d2a5d4-d006-8b53-568d-893d3e7464d2,d2d2a5d4-d006-8b53-568d-893d3e7464d2,2014-05-26 06:03:49,2015-11-16 12:32:11.505308
RingCentral,USA,CA,SF Bay Area,Belmont,NYSE,RNG,2013-09-27,97500000,,,https://www.crunchbase.com/organization/ringcentral,4f05ed8e-cd41-5add-b067-bdf3b06d2d8a,d74b607f-0a61-4baa-2d49-b2f68309069e,d74b607f-0a61-4baa-2d49-b2f68309069e,2014-05-26 10:50:12,2015-12-24 08:30:56.822723
Violin Memory,USA,CA,SF Bay Area,Santa Clara,NYSE,VMEM,2013-09-27,736419222,,,https://www.crunchbase.com/organization/violin-memory,e34bb54b-5fff-c2fb-2f9f-1038ab27c46f,fa1c106a-55a3-02da-7f77-c4efaaf92621,fa1c106a-55a3-02da-7f77-c4efaaf92621,2014-05-29 06:16:36,2015-12-24 11:59:39.759315
