entity_uuid,customer_uuid,created_at,updated_at
0212ddd6-f201-4ab5-051c-16b0d8d02d7a,9c471e76-3bfb-ba3d-4eac-9713d9271a19,2016-10-22 04:31:02.363958,2016-10-22 04:31:02.363668
0fbf6596-7b62-f560-ce4f-6cbd013e2403,bef0b440-45da-baf5-63a8-d37424f51da4,2016-10-22 04:19:01.350378,2016-10-22 04:19:01.349831
75d94408-fd2d-148c-a1ff-a3177aabb09a,bc42d4cb-5a7b-ba5d-01a6-e0c09ec1e9c2,2016-10-22 03:50:56.108516,2016-10-22 03:50:56.108143
75d94408-fd2d-148c-a1ff-a3177aabb09a,bc42d4cb-5a7b-ba5d-01a6-e0c09ec1e9c2,2016-10-22 03:50:56.108516,2016-10-22 03:50:56.108143
75d94408-fd2d-148c-a1ff-a3177aabb09a,bc42d4cb-5a7b-ba5d-01a6-e0c09ec1e9c2,2016-10-22 03:50:56.108516,2016-10-22 03:50:56.108143
75d94408-fd2d-148c-a1ff-a3177aabb09a,bc42d4cb-5a7b-ba5d-01a6-e0c09ec1e9c2,2016-10-22 03:50:56.108516,2016-10-22 03:50:56.108143
75d94408-fd2d-148c-a1ff-a3177aabb09a,bc42d4cb-5a7b-ba5d-01a6-e0c09ec1e9c2,2016-10-22 03:50:56.108516,2016-10-22 03:50:56.108143
75d94408-fd2d-148c-a1ff-a3177aabb09a,5351c7ba-b175-3e8c-3363-50937b3b6527,2016-10-22 03:49:11.865683,2016-10-22 03:49:11.865394
75d94408-fd2d-148c-a1ff-a3177aabb09a,5351c7ba-b175-3e8c-3363-50937b3b6527,2016-10-22 03:49:11.865683,2016-10-22 03:49:11.865394
75d94408-fd2d-148c-a1ff-a3177aabb09a,5351c7ba-b175-3e8c-3363-50937b3b6527,2016-10-22 03:49:11.865683,2016-10-22 03:49:11.865394
75d94408-fd2d-148c-a1ff-a3177aabb09a,5351c7ba-b175-3e8c-3363-50937b3b6527,2016-10-22 03:49:11.865683,2016-10-22 03:49:11.865394
75d94408-fd2d-148c-a1ff-a3177aabb09a,5351c7ba-b175-3e8c-3363-50937b3b6527,2016-10-22 03:49:11.865683,2016-10-22 03:49:11.865394
75d94408-fd2d-148c-a1ff-a3177aabb09a,eead9d83-f93e-5ecf-d943-851069bab5b2,2016-10-22 03:40:39.698346,2016-10-22 03:40:39.698023
75d94408-fd2d-148c-a1ff-a3177aabb09a,eead9d83-f93e-5ecf-d943-851069bab5b2,2016-10-22 03:40:39.698346,2016-10-22 03:40:39.698023
75d94408-fd2d-148c-a1ff-a3177aabb09a,eead9d83-f93e-5ecf-d943-851069bab5b2,2016-10-22 03:40:39.698346,2016-10-22 03:40:39.698023
75d94408-fd2d-148c-a1ff-a3177aabb09a,eead9d83-f93e-5ecf-d943-851069bab5b2,2016-10-22 03:40:39.698346,2016-10-22 03:40:39.698023
75d94408-fd2d-148c-a1ff-a3177aabb09a,eead9d83-f93e-5ecf-d943-851069bab5b2,2016-10-22 03:40:39.698346,2016-10-22 03:40:39.698023
75d94408-fd2d-148c-a1ff-a3177aabb09a,df14597c-3e51-8d58-9c15-fb3de3a34a54,2016-10-22 03:38:32.904709,2016-10-22 03:38:32.904441
75d94408-fd2d-148c-a1ff-a3177aabb09a,df14597c-3e51-8d58-9c15-fb3de3a34a54,2016-10-22 03:38:32.904709,2016-10-22 03:38:32.904441
75d94408-fd2d-148c-a1ff-a3177aabb09a,df14597c-3e51-8d58-9c15-fb3de3a34a54,2016-10-22 03:38:32.904709,2016-10-22 03:38:32.904441
75d94408-fd2d-148c-a1ff-a3177aabb09a,df14597c-3e51-8d58-9c15-fb3de3a34a54,2016-10-22 03:38:32.904709,2016-10-22 03:38:32.904441
75d94408-fd2d-148c-a1ff-a3177aabb09a,df14597c-3e51-8d58-9c15-fb3de3a34a54,2016-10-22 03:38:32.904709,2016-10-22 03:38:32.904441
75d94408-fd2d-148c-a1ff-a3177aabb09a,073c86c3-dac8-eef3-dc08-e71ccb776162,2016-10-22 03:37:23.860103,2016-10-22 03:37:23.859713
75d94408-fd2d-148c-a1ff-a3177aabb09a,073c86c3-dac8-eef3-dc08-e71ccb776162,2016-10-22 03:37:23.860103,2016-10-22 03:37:23.859713
75d94408-fd2d-148c-a1ff-a3177aabb09a,073c86c3-dac8-eef3-dc08-e71ccb776162,2016-10-22 03:37:23.860103,2016-10-22 03:37:23.859713
75d94408-fd2d-148c-a1ff-a3177aabb09a,073c86c3-dac8-eef3-dc08-e71ccb776162,2016-10-22 03:37:23.860103,2016-10-22 03:37:23.859713
75d94408-fd2d-148c-a1ff-a3177aabb09a,073c86c3-dac8-eef3-dc08-e71ccb776162,2016-10-22 03:37:23.860103,2016-10-22 03:37:23.859713
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,12ccad5f-9393-1a5f-7da9-9ea09699c83a,2016-10-21 21:24:05.327121,2016-10-21 21:24:05.326845
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,12ccad5f-9393-1a5f-7da9-9ea09699c83a,2016-10-21 21:24:05.327121,2016-10-21 21:24:05.326845
8ffafd29-8826-abb5-b1f1-a0161a4f9af3,12ccad5f-9393-1a5f-7da9-9ea09699c83a,2016-10-21 21:24:05.327121,2016-10-21 21:24:05.326845
