entity_uuid,competitor_uuid,created_at,updated_at
c063684d-f226-ba65-6f86-f5bb4fe3558d,bc4761a9-499d-5dba-d1d7-ab8bacffd0ae,2016-10-22 07:20:10.963866,2016-10-22 07:20:10.963567
c063684d-f226-ba65-6f86-f5bb4fe3558d,bc4761a9-499d-5dba-d1d7-ab8bacffd0ae,2016-10-22 07:20:10.963866,2016-10-22 07:20:10.963567
c063684d-f226-ba65-6f86-f5bb4fe3558d,bc4761a9-499d-5dba-d1d7-ab8bacffd0ae,2016-10-22 07:20:10.963866,2016-10-22 07:20:10.963567
c063684d-f226-ba65-6f86-f5bb4fe3558d,6327a67a-25cb-7a36-2231-55346b0039ef,2016-10-22 07:19:52.257143,2016-10-22 07:19:52.256891
c063684d-f226-ba65-6f86-f5bb4fe3558d,6327a67a-25cb-7a36-2231-55346b0039ef,2016-10-22 07:19:52.257143,2016-10-22 07:19:52.256891
c063684d-f226-ba65-6f86-f5bb4fe3558d,6327a67a-25cb-7a36-2231-55346b0039ef,2016-10-22 07:19:52.257143,2016-10-22 07:19:52.256891
c063684d-f226-ba65-6f86-f5bb4fe3558d,4720ff02-9afa-f151-bf78-4e02e0ad934d,2016-10-22 07:19:14.106352,2016-10-22 07:19:14.106063
c063684d-f226-ba65-6f86-f5bb4fe3558d,4720ff02-9afa-f151-bf78-4e02e0ad934d,2016-10-22 07:19:14.106352,2016-10-22 07:19:14.106063
c063684d-f226-ba65-6f86-f5bb4fe3558d,4720ff02-9afa-f151-bf78-4e02e0ad934d,2016-10-22 07:19:14.106352,2016-10-22 07:19:14.106063
75d94408-fd2d-148c-a1ff-a3177aabb09a,342c1504-973c-1014-bb49-c8d30d484c3a,2016-10-22 04:38:15.980766,2016-10-22 04:38:15.980448
75d94408-fd2d-148c-a1ff-a3177aabb09a,342c1504-973c-1014-bb49-c8d30d484c3a,2016-10-22 04:38:15.980766,2016-10-22 04:38:15.980448
75d94408-fd2d-148c-a1ff-a3177aabb09a,a39380b7-7713-fc45-02af-2f995b82a18e,2016-10-22 04:28:32.534564,2016-10-22 04:28:32.534303
75d94408-fd2d-148c-a1ff-a3177aabb09a,a39380b7-7713-fc45-02af-2f995b82a18e,2016-10-22 04:28:32.534564,2016-10-22 04:28:32.534303
b3cbba62-d939-247a-c2de-f6b58956e607,1caf854c-ac44-18d1-9758-edc5c15faf11,2016-10-22 03:59:08.320569,2016-10-22 03:59:08.32033
e7736608-9894-dec1-a862-6a3deec1cfea,7295df98-8546-cd87-6612-c2f956f703c0,2016-10-21 22:53:20.280192,2016-10-21 22:53:20.279864
e7736608-9894-dec1-a862-6a3deec1cfea,7295df98-8546-cd87-6612-c2f956f703c0,2016-10-21 22:53:20.280192,2016-10-21 22:53:20.279864
e7736608-9894-dec1-a862-6a3deec1cfea,7295df98-8546-cd87-6612-c2f956f703c0,2016-10-21 22:53:20.280192,2016-10-21 22:53:20.279864
e7736608-9894-dec1-a862-6a3deec1cfea,6e0e6bb6-59b9-3155-bd92-1ea99db4bafc,2016-10-21 22:50:34.419995,2016-10-21 22:50:34.419712
e7736608-9894-dec1-a862-6a3deec1cfea,6e0e6bb6-59b9-3155-bd92-1ea99db4bafc,2016-10-21 22:50:34.419995,2016-10-21 22:50:34.419712
e7736608-9894-dec1-a862-6a3deec1cfea,6e0e6bb6-59b9-3155-bd92-1ea99db4bafc,2016-10-21 22:50:34.419995,2016-10-21 22:50:34.419712
e7736608-9894-dec1-a862-6a3deec1cfea,f03f41e0-bf2e-c473-4600-14f800533643,2016-10-21 22:49:39.25161,2016-10-21 22:49:39.251286
e7736608-9894-dec1-a862-6a3deec1cfea,f03f41e0-bf2e-c473-4600-14f800533643,2016-10-21 22:49:39.25161,2016-10-21 22:49:39.251286
e7736608-9894-dec1-a862-6a3deec1cfea,f03f41e0-bf2e-c473-4600-14f800533643,2016-10-21 22:49:39.25161,2016-10-21 22:49:39.251286
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,d2d23409-22cd-aa75-7d9d-662ae8692105,2016-10-21 20:42:44.530944,2016-10-21 20:42:44.530671
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,d2d23409-22cd-aa75-7d9d-662ae8692105,2016-10-21 20:42:44.530944,2016-10-21 20:42:44.530671
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,d2d23409-22cd-aa75-7d9d-662ae8692105,2016-10-21 20:42:44.530944,2016-10-21 20:42:44.530671
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,5665ff29-c2e6-81e9-808e-ffeab893cfaa,2016-10-21 20:42:33.928331,2016-10-21 20:42:33.927883
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,5665ff29-c2e6-81e9-808e-ffeab893cfaa,2016-10-21 20:42:33.928331,2016-10-21 20:42:33.927883
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,5665ff29-c2e6-81e9-808e-ffeab893cfaa,2016-10-21 20:42:33.928331,2016-10-21 20:42:33.927883
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,421ada99-dc1b-2744-7319-b47545f9aae1,2016-10-21 20:41:40.167342,2016-10-21 20:41:40.167078
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,421ada99-dc1b-2744-7319-b47545f9aae1,2016-10-21 20:41:40.167342,2016-10-21 20:41:40.167078
7b37a1e6-82cd-69e8-dea5-dd2c0fba0882,421ada99-dc1b-2744-7319-b47545f9aae1,2016-10-21 20:41:40.167342,2016-10-21 20:41:40.167078
2d74de6d-6279-91e3-80f6-ada66d9b67bb,567005de-7108-0d60-64b6-05e732a789cf,2016-10-21 19:17:08.526601,2016-10-21 19:17:08.526135
df662812-7f97-0b43-9d3e-12f64f504fbb,eef9eab2-4c50-f0a3-12b8-ce721fa2cc81,2016-10-21 18:57:08.06414,2016-10-21 18:57:08.063683
df662812-7f97-0b43-9d3e-12f64f504fbb,eef9eab2-4c50-f0a3-12b8-ce721fa2cc81,2016-10-21 18:57:08.06414,2016-10-21 18:57:08.063683
df662812-7f97-0b43-9d3e-12f64f504fbb,15ac96a5-b671-8a80-1368-2c3f57649cd1,2016-10-21 18:56:15.74029,2016-10-21 18:56:15.739898
df662812-7f97-0b43-9d3e-12f64f504fbb,15ac96a5-b671-8a80-1368-2c3f57649cd1,2016-10-21 18:56:15.74029,2016-10-21 18:56:15.739898
6d951af7-995d-0ae9-3056-eb5f48609815,a6d02f0b-9403-2069-0417-a242907caa3f,2016-10-21 18:26:45.687614,2016-10-21 18:26:45.687246
6d951af7-995d-0ae9-3056-eb5f48609815,a6d02f0b-9403-2069-0417-a242907caa3f,2016-10-21 18:26:45.687614,2016-10-21 18:26:45.687246
6d951af7-995d-0ae9-3056-eb5f48609815,1d4fe7ce-286e-abfa-ed0f-2f6b99b40592,2016-10-21 18:25:33.516186,2016-10-21 18:25:33.515848
6d951af7-995d-0ae9-3056-eb5f48609815,1d4fe7ce-286e-abfa-ed0f-2f6b99b40592,2016-10-21 18:25:33.516186,2016-10-21 18:25:33.515848
bc616bc9-2041-05ab-3451-c138e3ee1acc,c876b580-2eab-5aab-dc90-e3e79cc9c1dc,2016-10-21 17:24:32.275793,2016-10-21 17:24:32.275579
e328c035-4ffb-1427-2fb6-485baa9d754c,c876b580-2eab-5aab-dc90-e3e79cc9c1dc,2016-10-21 17:15:40.439948,2016-10-21 17:15:40.439613
edf91d43-764d-cb02-313d-f8e62c9c2f60,b86b7f72-56fc-bdaf-340f-943442303c11,2016-10-21 13:56:41.574715,2016-10-21 13:56:41.574327
edf91d43-764d-cb02-313d-f8e62c9c2f60,b86b7f72-56fc-bdaf-340f-943442303c11,2016-10-21 13:56:41.574715,2016-10-21 13:56:41.574327
edf91d43-764d-cb02-313d-f8e62c9c2f60,270b62fb-635b-6532-7c06-53af38284ded,2016-10-21 13:56:15.98308,2016-10-21 13:56:15.98267
