event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
80763647-b2a7-7510-1a83-dbddbea16b0a,ntinmarket,c08b5441-a05b-9777-b7a6-012728caddd9,Market,,2016-10-13 20:00:24.628382,2016-10-13 20:00:24.628134
80763647-b2a7-7510-1a83-dbddbea16b0a,organizer,d3862958-3e14-1b31-c02d-532f9ea35c18,Organization,,2016-10-13 19:59:09.600091,2016-10-13 19:59:09.599712
80763647-b2a7-7510-1a83-dbddbea16b0a,speaker,acd42c8a-a1b1-6867-a8a1-5e97c977ec74,Person,,2016-10-13 19:58:41.292899,2016-10-13 19:58:41.29234
80763647-b2a7-7510-1a83-dbddbea16b0a,venue,7d200771-2e9c-2bd0-72b1-f071f60d05d9,Address,,2016-10-13 19:58:07.581288,2016-10-13 19:58:07.581027
80763647-b2a7-7510-1a83-dbddbea16b0a,venue,b624a571-cbb1-5443-1233-c819c3b13664,Address,,2016-10-13 19:58:06.957091,2016-10-13 19:58:06.956875
6362edcb-9041-0050-36cd-85b7f1af37b4,speaker,1327b22e-c187-3b63-8393-aa677be1a658,Person,,2016-10-12 23:04:28.834571,2016-10-12 23:04:28.833957
6362edcb-9041-0050-36cd-85b7f1af37b4,speaker,7933d8a5-e755-b2ad-8c97-a00dbcd49d14,Person,,2016-10-12 22:57:28.826028,2016-10-12 22:57:28.82568
4d0ba15c-65e3-9c94-24f8-3a00155799ca,ntinmarket,ae5718dc-8602-c733-e62b-28e6167091ad,Market,,2016-10-12 17:27:10.981321,2016-10-12 17:27:10.981013
d41b2f43-c068-578b-8964-1effeabd195d,organizer,d684f10b-e13f-9d40-f995-aca4520c247b,Organization,,2016-10-11 22:45:52.134023,2016-10-11 22:45:52.133489
48fe1572-f4ac-66a4-0700-98b6443f6b7b,sponsor,c4ad4424-4841-42ca-f4e6-6241f1901326,Organization,,2016-10-11 12:25:37.418444,2016-10-11 12:25:37.418137
48fe1572-f4ac-66a4-0700-98b6443f6b7b,sponsor,38ca593b-7ad6-f03e-f2b0-72586b78773d,Organization,,2016-10-11 12:24:28.324647,2016-10-11 12:24:28.324281
48fe1572-f4ac-66a4-0700-98b6443f6b7b,sponsor,8424ffb3-0b35-972e-4bdd-bf57bb2d9168,Organization,,2016-10-11 12:21:11.541023,2016-10-11 12:21:11.540656
4adb7000-7b5e-5f70-031b-fa0e67be4635,sponsor,5e98191c-1111-dfe4-a76a-6d9e31a4c992,Organization,,2016-10-11 11:27:23.04599,2016-10-11 11:27:23.045409
