acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid,created_at,updated_at
DIIG,GBR,,,,DMGT,GBR,,London,London,2013-10-27,,75000000,GBP,https://www.crunchbase.com/organization/diig,https://www.crunchbase.com/organization/dmgt-plc,567e9fe5-8cb1-3d9d-b1de-deb65ebd1033,5315ab35-0363-f925-a26f-174aa7cea182,6a56d712-41a4-b033-9ec3-4e74336dff41,2013-10-28 11:13:33,2014-04-20 11:59:27
Endurance Lending Network,USA,CA,SF Bay Area,San Francisco,Funding Circle,GBR,,London,London,2013-10-25,,,,https://www.crunchbase.com/organization/endurance-lending-network,https://www.crunchbase.com/organization/funding-circle,4bdd6852-868a-d34f-1c95-a662736db5cd,ac6cfe98-a031-1729-7816-d3387c300a25,7b0cf7c5-eba5-6649-c5be-664c56eb4e47,2013-10-25 16:08:35,2016-09-24 08:42:18.975513
JMI,USA,IN,Indianapolis,Zionsville,Chime Communications PLC,GBR,,London,London,2013-10-25,70697483.79512289,43700000,GBP,https://www.crunchbase.com/organization/jmi,https://www.crunchbase.com/organization/chime-communications-plc,637a881f-1eaa-a51e-8fda-17c62b464acc,bfce8189-064a-af9a-c784-2ab0d17db98c,e99a990b-9816-76f8-a89a-6509e7e1d8dd,2013-10-25 10:54:48,2016-09-09 10:09:30.646478
The Wellness Corporation,USA,MA,Worcester,Shrewsbury,E4 Health,USA,TX,Dallas,Irving,2013-10-25,,,,https://www.crunchbase.com/organization/the-wellness-corporation,https://www.crunchbase.com/organization/e4-health,7d613644-fbaf-cb06-fab7-0fd80e5aaa9f,835c5adf-5527-341b-3615-9d769da9e2f6,25d51b8a-c454-808e-7a4b-4dbb999c8ae1,2013-10-25 12:30:01,2014-04-20 11:59:24
Arc90,USA,NY,New York City,New York,SFX Entertainment,USA,NY,New York City,New York,2013-10-24,,,,https://www.crunchbase.com/organization/arc90,https://www.crunchbase.com/organization/sfx-entertainment,7a9aa162-144c-4081-c260-74a696c547a4,767fba43-e72f-787b-837c-03a6c8a99835,31cca58f-685e-8d16-e9a3-e20c2d8fd813,2013-10-24 18:21:30,2014-04-20 11:59:21
BigMachines,USA,IL,Chicago,Deerfield,Oracle Corporation,USA,CA,SF Bay Area,Redwood Shores,2013-10-24,400000000,,,https://www.crunchbase.com/organization/bigmachines,https://www.crunchbase.com/organization/oracle,a1197186-76de-f803-ba86-5d8ce49a542f,bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7,e856d7c1-27cd-5f00-eca5-d2e69a00a20f,2013-10-24 04:34:10,2016-09-14 07:11:02.404315
Cameleon Software,USA,IL,Chicago,Skokie,PROS Holdings,USA,TX,Houston,Houston,2013-10-24,33000000,,,https://www.crunchbase.com/organization/cameleon-software,https://www.crunchbase.com/organization/pros-holdings,1606d4a2-d3e4-69ef-ab0f-68927a13da77,19ad3d00-896d-5ab4-a9d3-5e0acde02c90,b4ebdd60-885c-8ff6-fcde-0b2d8689a496,2013-10-24 18:07:55,2016-06-29 12:31:32.821396
Celesio,DEU,,Stuttgart,Stuttgart,McKesson,USA,CA,SF Bay Area,San Francisco,2013-10-24,,,,https://www.crunchbase.com/organization/celesio,https://www.crunchbase.com/organization/mckesson,98d6bffa-32cc-55af-5c16-cf1e8f9f8b5c,1c41f4ce-92b4-371f-717b-69f7b8386dd0,4fdf7628-23ab-cfa2-f7a7-bc735172145c,2013-10-25 04:23:18,2014-04-20 11:59:23
Consolidated Graphics,USA,TX,Houston,Houston,RR Donnelley,USA,IL,Chicago,Chicago,2013-10-24,620000000,,,https://www.crunchbase.com/organization/consolidated-graphics,https://www.crunchbase.com/organization/rr-donnelley,473ffaff-d1d7-c052-18e5-5f759612cf71,4f9f31eb-c970-4c16-4488-ddf9ad5af9b0,60316e2e-ea18-3d6e-f899-fb926a41f62c,2013-10-25 03:52:29,2016-09-02 14:50:58.487295
Fame House,USA,PA,Philadelphia,Philadelphia,SFX Entertainment,USA,NY,New York City,New York,2013-10-24,,,,https://www.crunchbase.com/organization/fame-house,https://www.crunchbase.com/organization/sfx-entertainment,6e02b995-65df-c631-4ebe-c40103adc3ab,767fba43-e72f-787b-837c-03a6c8a99835,0daafeba-8b47-b157-1eb1-0e1255e3bafa,2013-10-24 18:21:30,2014-04-20 11:59:21
ProSep,USA,TX,Houston,Houston,PWA,USA,OH,Akron - Canton,Wooster,2013-10-24,,,,https://www.crunchbase.com/organization/prosep,https://www.crunchbase.com/organization/pwa,05b5b497-a79e-787b-f4e9-1684c7da7175,b588ae92-81b1-08bb-866c-1ab4eff8154a,3deebf65-67fc-932a-b422-548394a04a74,2013-10-25 03:13:13,2014-04-20 11:59:22
Timco Aviation Services,USA,NC,Greensboro,Greensboro,HAECO,HKG,,HKG - Other,Lantau,2013-10-24,,,,https://www.crunchbase.com/organization/timco-aviation-services,https://www.crunchbase.com/organization/haeco,44e8c660-a745-dfa9-5405-f91a1d6dc5da,acbf057a-de1c-e806-53c8-64dcdf4391d8,9baa4c0e-be2c-ca2c-b270-6c69d0ee8d28,2013-10-25 09:45:27,2014-04-20 11:59:23
Tunezy,CAN,ON,Toronto,Toronto,SFX Entertainment,USA,NY,New York City,New York,2013-10-24,,,,https://www.crunchbase.com/organization/tunezy,https://www.crunchbase.com/organization/sfx-entertainment,81f51533-747a-e87c-6750-f91a22f3ec6a,767fba43-e72f-787b-837c-03a6c8a99835,0b9a392d-d4e5-7d3d-c784-1a3423e32a73,2013-10-24 18:21:30,2014-04-20 11:59:22
Washington Banking,USA,WA,WA - Other,Oak Harbor,Heritage Financial,USA,WA,Seattle,Olympia,2013-10-24,,,,https://www.crunchbase.com/organization/washington-banking,https://www.crunchbase.com/organization/heritage-financial,25ca34e3-2b2a-1e8f-13da-24c890ad853c,b4e393f7-9715-52a9-2823-a09865a7362b,265a06f3-6885-a57b-9098-9f09c1119634,2013-10-24 05:28:11,2014-04-20 11:59:20
