entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,efe523b2-42fe-fd6e-7f06-bffeb0d3aa63,a16z Bio Fund,,2015-07-25,,USD,2016-10-21 14:37:26.671211,2016-10-21 14:37:26.670346
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,6029ff2e-7088-2834-c012-9e5e613055d9,KPCB Edge Fund,,2015-06-16,4000000,USD,2015-06-16 11:57:18,2016-07-16 08:41:51.348266
f3716725-552d-b9b5-59ad-de4ec64b1751,f7b8cb9e-9ac6-68df-daf1-fc0483cc25cf,Intel Capital Diversity Fund,,2015-06-09,125000000,USD,2015-06-10 04:53:55,2015-06-10 04:55:33
d29973c3-95ec-691d-defd-6a6ba713c72a,f0cdb59d-1f8c-0b13-92dd-b53889dd6300,Redpoint Ventures VI,,2015-05-13,400000000,USD,2015-05-14 03:44:42,2015-09-03 17:59:00
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,837bb133-314f-124d-015a-9f9a78397185,Atlas Venture Fund X,,2015-04-17,280000000,USD,2015-04-17 11:37:56,2015-04-17 11:43:08
a34c63f0-c277-3e4b-bbfc-1868ca81596d,103091cc-cda8-5cf2-06cb-34d7d0f83822,Menlo Ventures XII,,2015-04-15,400000000,USD,2015-04-15 11:52:52,2015-09-29 06:42:24
47b84763-9727-7cdf-b194-2742e3963147,0321339a-2306-f016-5fdc-cb08b95cd407,NEA 15 Fund,,2015-04-15,2800000000,USD,2015-01-14 06:11:40,2016-07-08 23:56:10.16524
47b84763-9727-7cdf-b194-2742e3963147,36e89adb-8645-4639-c8a2-bd38acab9643,The opportunity fund,,2015-04-15,350000000,USD,2015-04-15 07:23:20,2015-04-15 07:24:17
56e40f50-97c7-2a77-255d-1d97d5f30646,25cf8ea1-224d-a34e-b704-32d5729c465a,DistroFund,,2015-04-13,10000000,USD,2015-04-15 06:25:41,2015-04-15 06:26:28
0c867fde-2b9a-df10-fdb9-66b74f355f91,7a5ec841-f5d8-a95d-93a6-129c39932749,India-focused fund IV,,2015-04-09,740000000,USD,2014-05-30 02:40:13,2015-04-09 08:55:40
60b5dade-24ed-84b0-99e2-1ecda554a1ab,2c3f3cf7-3a63-bf6d-886b-e2ad05393712,"Index Ventures Growth III (Jersey), L.P",,2015-04-01,706160000,USD,2015-04-02 04:37:09,2015-04-02 04:37:47
