org_uuid,parent_org_uuid,relationship_to_parent,created_at,updated_at
06047c8b-c52e-a474-95e2-ef24dc615460,a4590a93-639f-fe6c-23e5-c2407aa164ac,Division,2016-10-14 22:27:31.321624,2016-10-14 22:27:31.321288
d1666a5e-6665-1825-314c-c3a794cdfd48,8adadbfb-be63-6602-8ca0-b037397a7038,Legal Successor,2016-10-14 13:29:00.59809,2016-10-14 13:29:00.597786
557d6676-fc1a-33f0-656b-9871f4a66438,6acfa7da-1dbd-936e-d985-cf07a1b27711,Subsidiary,2016-10-14 12:56:44.676912,2016-10-14 12:56:44.676642
2a1a0660-24f2-461c-0f52-92e3f72b986d,a3c0b3c0-846d-4121-2dc2-06ecaa31601a,sub organisation,2016-10-14 09:40:14.792554,2016-10-14 09:40:14.792246
cf556ed5-c55b-0083-229e-06f4ea6885e2,d420cb3c-c5c2-df2a-63db-4850847570c8,Sub Organization,2016-10-14 06:19:18.55173,2016-10-14 06:19:18.551432
d9fbe3c0-c262-a90a-a4e5-9c2bd795965f,bae66f32-120b-3b90-cb70-3d67c113b255,Relative,2016-10-14 06:06:56.041877,2016-10-14 06:06:56.041494
cf1a568d-df21-00bf-34d3-1bd181cf95e0,a3c583c8-e6f3-1e0a-3388-3f1e8ae81110,Investor,2016-10-13 16:21:01.231988,2016-10-13 16:21:01.23166
52b567c5-1f59-0a68-dd39-408a4b1c9d40,1f6a7317-df12-5b79-99de-299d66ee79c5,"Subsidiary, International Brand",2016-10-13 13:15:48.383623,2016-10-13 13:15:48.383271
8fd5cfe0-9843-6c6e-08aa-2cdf1ca251ee,1fe70f1a-cfd5-7b88-e28f-25c4aae816fd,Division,2016-10-13 06:12:35.576806,2016-10-13 06:12:35.5763
e5e5d1cd-2201-dda4-0c00-3b296c55f570,913cc783-0dbc-d0c1-70c9-218c25e85994,Venture Capital Arm,2016-10-12 08:54:21.85033,2016-10-12 08:54:21.849903
26ea59e4-9298-09c4-410d-ea4813f272f9,209ac1b8-6e8a-351e-431a-0999a912d288,Subsidiary,2016-10-12 08:18:59.146295,2016-10-12 08:18:59.145749
c8c508e0-7824-4de1-b3cc-27f27dbbd3bf,209ac1b8-6e8a-351e-431a-0999a912d288,Subsidiary,2016-10-12 08:18:13.87365,2016-10-12 08:18:13.873337
b94eddeb-4708-9a31-85d7-faaf1c277fbe,741483d3-be65-dd8b-1f96-c601b546f395,Relative,2016-10-12 06:53:41.875781,2016-10-12 06:53:41.87524
0b24b469-7672-706d-a051-f1f316d2bebb,92fed872-fd70-a543-5ff4-d070e04b9a12,self and owner,2016-10-11 21:23:15.669179,2016-10-11 21:23:15.668775
545ac7f0-e901-45ed-1148-c60dce4fb571,a76c2f4a-0160-a1c4-62ac-30c6070cbddd,Graduated from Accelerator Program,2016-10-11 19:31:03.54047,2016-10-11 19:31:03.539944
129ec1d0-f4a5-aa95-b8db-c77b925febdb,cc4807ee-d8fc-4878-1f7b-0d9204744241,brand,2016-10-11 17:12:35.943264,2016-10-11 17:12:35.942838
545ac7f0-e901-45ed-1148-c60dce4fb571,b429fc36-a31f-0eaf-0af3-135365e7c9b7,Accelerator,2015-12-22 19:20:33.214247,2015-12-22 19:20:33.213985
4cda5618-71e7-e81f-fd4a-7f4b18501ce3,51da517c-6c4a-5fd6-bada-73796108b18d,Seed Investor,2015-03-22 23:16:23,2015-03-22 23:16:24
